frame,milk_present,static_scene,dynamic_scene
000000,true,true,false
000018,true,true,false
000019,true,true,false
000027,true,true,false
000029,true,true,false
000033,true,true,false
000035,true,true,false
000037,true,true,false
000045,true,true,false
000047,true,true,false
000049,true,true,false
000054,true,true,false
000056,true,true,false
000060,true,true,false
000064,true,true,false
000065,true,true,false
000069,true,true,false
000072,true,true,false
000073,true,true,false
000080,true,true,false
000082,true,true,false
000083,true,true,false
000091,true,true,false
000092,true,true,false
000093,true,true,false
000099,true,true,false
000101,true,true,false
000102,true,true,false
