frame,idx,score,x,y,w,h,area,rank
000000,0,0.6295654773712158,278,265,67,196,13132,0
000000,1,0.6105456948280334,279,292,62,170,10540,1
000000,2,0.4795335829257965,44,431,108,48,5184,2
000000,3,0.4679381847381592,281,389,59,72,4248,3
000000,4,0.432412713766098,477,444,163,35,5705,4
000018,0,0.6312811970710754,278,265,66,196,12936,0
000018,1,0.5950822830200195,279,290,62,172,10664,1
000018,2,0.5872383713722229,281,389,59,72,4248,2
000018,3,0.4361096918582916,618,133,21,186,3906,3
000018,4,0.4239310324192047,136,429,113,35,3955,4
000019,0,0.625569760799408,278,266,66,196,12936,0
000019,1,0.6242952346801758,279,282,62,180,11160,1
000019,2,0.6002046465873718,281,389,59,72,4248,2
000019,3,0.4372965693473816,618,132,21,185,3885,3
000019,4,0.4353944957256317,478,445,162,34,5508,4
000027,0,0.6298506259918213,278,265,66,196,12936,0
000027,1,0.6003938913345337,281,389,59,72,4248,1
000027,2,0.5935807228088379,279,290,62,172,10664,2
000027,3,0.4301435947418213,478,445,162,34,5508,3
000027,4,0.4111357629299164,617,133,22,185,4070,4
000029,0,0.6234354376792908,278,265,66,197,13002,0
000029,1,0.6029078364372253,279,288,63,173,10899,1
000029,2,0.4754721522331238,281,389,59,72,4248,2
000029,3,0.43090391159057617,478,444,162,35,5670,3
000029,4,0.42604297399520874,136,429,112,35,3920,4
000033,0,0.6265884041786194,278,266,67,196,13132,0
000033,1,0.6173133850097656,279,281,63,181,11403,1
000033,2,0.4792994558811188,281,389,59,72,4248,2
000033,3,0.44441965222358704,304,394,36,68,2448,3
000033,4,0.44220906496047974,478,445,162,34,5508,4
000035,0,0.6305094957351685,278,264,67,198,13266,0
000035,1,0.473219633102417,281,389,59,72,4248,1
000035,2,0.4228597581386566,136,429,112,35,3920,2
000035,3,0.42183682322502136,0,332,36,146,5256,3
000035,4,0.4183664917945862,476,445,164,34,5576,4
000037,0,0.6330259442329407,278,265,66,196,12936,0
000037,1,0.6026679873466492,279,289,62,173,10726,1
000037,2,0.5983516573905945,281,389,59,72,4248,2
000037,3,0.45435699820518494,304,394,36,68,2448,3
000037,4,0.4301852881908417,135,429,111,35,3885,4
000045,0,0.6292672157287598,278,264,67,198,13266,0
000045,1,0.6255488991737366,279,282,63,180,11340,1
000045,2,0.48009249567985535,281,389,59,72,4248,2
000045,3,0.43944650888442993,304,394,36,68,2448,3
000045,4,0.4370438754558563,136,429,119,35,4165,4
000047,0,0.638580858707428,278,265,66,196,12936,0
000047,1,0.6222777366638184,279,281,62,181,11222,1
000047,2,0.47060585021972656,44,431,110,48,5280,2
000047,3,0.4686110317707062,281,389,59,72,4248,3
000047,4,0.42009133100509644,82,384,134,43,5762,4
000049,0,0.621105968952179,278,265,66,197,13002,0
000049,1,0.6201170086860657,279,282,63,179,11277,1
000049,2,0.455439031124115,281,389,59,72,4248,2
000049,3,0.4512089490890503,618,133,21,184,3864,3
000049,4,0.4328298270702362,0,352,34,124,4216,4
000054,0,0.6217783093452454,279,282,63,180,11340,0
000054,1,0.6204692721366882,278,265,66,197,13002,1
000054,2,0.4763116240501404,44,430,106,49,5194,2
000054,3,0.459318608045578,281,389,59,72,4248,3
000054,4,0.4337013065814972,478,445,162,34,5508,4
000056,0,0.629217803478241,278,265,67,196,13132,0
000056,1,0.47756242752075195,281,389,59,72,4248,1
000056,2,0.4283054769039154,135,428,123,38,4674,2
000056,3,0.4239036440849304,137,429,113,36,4068,3
000056,4,0.4204714000225067,618,131,21,191,4011,4
000060,0,0.6321211457252502,278,265,66,196,12936,0
000060,1,0.5980166792869568,279,290,62,171,10602,1
000060,2,0.5941022634506226,281,388,59,73,4307,2
000060,3,0.48511749505996704,45,431,108,48,5184,3
000060,4,0.4270695149898529,479,444,161,35,5635,4
000064,0,0.6214998364448547,278,265,67,197,13199,0
000064,1,0.6162338256835938,279,282,63,180,11340,1
000064,2,0.4813082814216614,281,389,59,72,4248,2
000064,3,0.4413878917694092,135,429,116,35,4060,3
000064,4,0.43014368414878845,618,133,21,185,3885,4
000065,0,0.6260440945625305,278,266,67,195,13065,0
