frame,score,x,y,w,h,tx,ty,tz
000000,0.6083545088768005,278,265,67,196,-9.170427322387695,235.01895141601562,476.6548767089844
000018,0.6312811970710754,278,265,66,196,-9.388029098510742,234.2606658935547,477.0199279785156
000019,0.6246533989906311,278,266,66,196,-8.551558494567871,230.04754638671875,478.1594543457031
000027,0.604016900062561,278,265,66,196,-9.039353370666504,244.275390625,475.26153564453125
000029,0.6197825074195862,278,265,66,197,-8.37193775177002,238.83938598632812,477.1249084472656
000033,0.6226110458374023,278,266,67,196,-7.657702922821045,238.86146545410156,475.6920166015625
000035,0.6305094957351685,278,264,67,198,-9.46673583984375,231.9003448486328,478.84173583984375
000037,0.6327168345451355,278,265,66,196,-10.956812858581543,233.75616455078125,476.81640625
000045,0.6148260235786438,278,264,67,198,-7.953132629394531,241.85928344726562,475.0906982421875
000047,0.6348391771316528,278,265,66,196,-9.201896667480469,235.08810424804688,476.6545104980469
000049,0.5962374806404114,278,265,66,197,-8.7498140335083,236.35379028320312,476.68707275390625
000054,0.6165307760238647,278,265,66,197,-7.468152046203613,237.64825439453125,475.4892272949219
000056,0.6270671486854553,278,265,67,196,-9.405678749084473,232.0616455078125,476.1590576171875
000060,0.5941022634506226,281,388,59,73,-8.43051815032959,248.19024658203125,475.3242492675781
000064,0.6069334149360657,278,265,67,197,-7.97247314453125,240.5642852783203,474.6304626464844
000065,0.6251270174980164,278,266,67,195,-8.502849578857422,239.16879272460938,476.8749694824219
000069,0.5882183909416199,279,266,66,196,-8.824161529541016,245.64797973632812,475.7100830078125
000072,0.6173443794250488,278,265,67,196,-9.057785987854004,241.95413208007812,475.1204528808594
000073,0.6223503351211548,278,265,67,197,-9.100768089294434,233.84120178222656,476.59716796875
000080,0.6247955560684204,278,265,67,197,-9.305390357971191,232.30169677734375,476.97088623046875
000082,0.6244828701019287,278,265,67,197,-9.461908340454102,237.62435913085938,477.0967712402344
000083,0.6265379786491394,278,264,66,198,-8.449667930603027,238.8553009033203,474.90704345703125
000091,0.6191950440406799,278,264,66,198,-9.570898056030273,240.90023803710938,475.8234558105469
000092,0.6227571368217468,278,265,67,197,-7.611659049987793,238.91702270507812,475.86126708984375
000093,0.6115148067474365,278,265,66,197,-8.234600067138672,241.228515625,474.70184326171875
