rule,slam_tp_lost,slam_fp_removed,slam_visible_recall_after,slam_hidden_fp_after,slam_hidden_fpr_after,only_output_after,only_output_rate_after
(depth_error>40 AND render_iou>0.75) OR (render_iou<0.10 AND projected_depth_residual>25),16,3,0.7219251336898396,0,0.0,162,0.9364161849710982
(depth_error>40 AND render_iou>0.75) OR render_iou<0.10,23,3,0.6844919786096256,0,0.0,161,0.930635838150289
(score_margin>0.02 AND depth_error>35) OR render_iou<0.10,33,3,0.6310160427807486,0,0.0,150,0.8670520231213873
depth_error>40 OR render_iou<0.10,49,3,0.5454545454545454,0,0.0,138,0.7976878612716763
score_margin>0.015,78,3,0.39037433155080214,0,0.0,87,0.5028901734104047
score_margin>0.01,101,3,0.26737967914438504,0,0.0,70,0.4046242774566474
projected_depth_residual>10,111,3,0.21390374331550802,0,0.0,46,0.2658959537572254
render_iou>0.75,9,2,0.7593582887700535,1,0.0045871559633027525,144,0.8323699421965318
render_iou>0.7,14,2,0.732620320855615,1,0.0045871559633027525,126,0.7283236994219653
score_margin>0.02 AND depth_error>35,16,2,0.7219251336898396,1,0.0045871559633027525,160,0.9248554913294798
mask_depth_error>40,33,2,0.6310160427807486,1,0.0045871559633027525,146,0.8439306358381503
mask_depth_error>35,49,2,0.5454545454545454,1,0.0045871559633027525,137,0.791907514450867
score_margin>0.02,64,2,0.46524064171123,1,0.0045871559633027525,99,0.5722543352601156
mask_depth_error>30,73,2,0.41711229946524064,1,0.0045871559633027525,119,0.6878612716763006
mask_depth_error>25,91,2,0.32085561497326204,1,0.0045871559633027525,86,0.49710982658959535
mask_depth_error>20,107,2,0.23529411764705882,1,0.0045871559633027525,69,0.3988439306358382
render_iou>0.8,5,1,0.7807486631016043,2,0.009174311926605505,170,0.9826589595375722
render_iou<0.1,20,1,0.7005347593582888,2,0.009174311926605505,161,0.930635838150289
score_margin>0.04,21,1,0.6951871657754011,2,0.009174311926605505,134,0.7745664739884393
render_iou<0.15,24,1,0.679144385026738,2,0.009174311926605505,153,0.884393063583815
render_iou<0.2,26,1,0.6684491978609626,2,0.009174311926605505,145,0.838150289017341
projected_depth_residual>30,35,1,0.6203208556149733,2,0.009174311926605505,113,0.653179190751445
score_margin>0.03,36,1,0.6149732620320856,2,0.009174311926605505,118,0.6820809248554913
render_iou<0.3,37,1,0.6096256684491979,2,0.009174311926605505,130,0.7514450867052023
projected_depth_residual>25,45,1,0.5668449197860963,2,0.009174311926605505,101,0.5838150289017341
score_margin>0.025,50,1,0.5401069518716578,2,0.009174311926605505,113,0.653179190751445
render_iou<0.4,50,1,0.5401069518716578,2,0.009174311926605505,104,0.6011560693641619
projected_depth_residual>20,63,1,0.47058823529411764,2,0.009174311926605505,91,0.5260115606936416
projected_depth_residual>15,88,1,0.33689839572192515,2,0.009174311926605505,83,0.4797687861271676
mask_depth_error>80,0,0,0.8074866310160428,3,0.013761467889908258,172,0.9942196531791907
mask_depth_error>100,0,0,0.8074866310160428,3,0.013761467889908258,172,0.9942196531791907
render_iou>0.85,2,0,0.7967914438502673,3,0.013761467889908258,172,0.9942196531791907
mask_depth_error>60,3,0,0.7914438502673797,3,0.013761467889908258,163,0.9421965317919075
render_iou<0.05,13,0,0.7379679144385026,3,0.013761467889908258,166,0.9595375722543352
mask_depth_error>50,13,0,0.7379679144385026,3,0.013761467889908258,156,0.9017341040462428
score_margin>0.05,13,0,0.7379679144385026,3,0.013761467889908258,144,0.8323699421965318
mask_depth_error>45,18,0,0.7112299465240641,3,0.013761467889908258,151,0.8728323699421965
projected_depth_residual>40,30,0,0.6470588235294118,3,0.013761467889908258,123,0.7109826589595376
projected_depth_residual>35,34,0,0.6256684491978609,3,0.013761467889908258,120,0.6936416184971098
