frame,prev_frame,rotation_delta_deg,translation_delta_mm
000150,000145,56.55638687565204,62.98541969167162
000575,000570,56.45061125033229,67.91686736165954
000760,000755,56.42027597463638,64.45522718311891
000685,000680,56.19978595919911,22.732974513873817
000075,000070,55.99734548083582,68.42778020964802
000370,000365,55.63226736422586,62.93627138056572
000725,000720,55.555867427509305,56.12583114041747
000395,000390,55.181164998632944,53.019781952774466
000555,000550,53.21333392338425,25.483317184972766
000720,000715,52.92639336603855,30.762047132271725
000160,000155,50.65458294637998,54.1368442879691
000570,000565,48.41472695750246,11.368533097068722
000695,000690,46.173068951959465,24.646469582001725
000580,000575,31.59153043860419,30.42056407951731
000700,000695,29.93115741268362,23.16089885372509
000730,000725,29.251343680833152,29.123216770595
000165,000160,27.577313707896522,37.72678417803182
000585,000580,22.072290118217758,21.799363380302804
000560,000555,21.68527897172332,20.688903928971335
000400,000395,21.52719954094515,25.758857700860858
000690,000685,20.67598387816564,30.768044540645146
000705,000700,20.668052898826133,14.274866727695844
000735,000730,20.566391389064208,14.808720889678963
000375,000370,20.132536784218377,25.59731213017232
000155,000150,19.60304095285862,38.448672246054514
000080,000075,19.385678451798135,30.516020734642733
000170,000165,18.171777894804286,29.30880077291789
000765,000760,17.292838526982326,29.528139935639874
000565,000560,16.160066115695283,15.074227360962103
000710,000705,14.253478308716371,13.040245364916805
000405,000400,14.141308002460812,18.912823202895154
000740,000735,13.158149714842999,8.340861426509077
000380,000375,13.071151640719886,15.501919737444156
000085,000080,12.761715605697754,25.711999898048532
000770,000765,12.649854921395626,18.79418346513587
000590,000585,12.577577192154424,17.80926650726722
000175,000170,12.175821050774328,23.281512868351033
000515,000505,10.46158870920034,38.793967063316565
000410,000405,9.626169758398653,9.25581084641176
000385,000380,9.290941358346043,13.484610063673127
000745,000740,8.703668269553209,5.898024027094335
000090,000085,8.45697032924266,22.258397202810386
000715,000710,8.27801080912241,18.44624441738608
000775,000770,8.095187807570325,18.62716610650507
000180,000175,7.8828390500682834,25.908336698148442
000595,000590,7.073415418386291,25.461799412931178
000415,000410,6.231826393165323,5.753777524224332
000390,000385,6.072559131140153,13.974420306082193
000750,000745,5.271317102417308,11.686242222045534
000780,000775,5.161594426049477,16.873327230223513
000545,000540,5.1088709478259915,23.444944413199
000550,000545,4.802384889008498,22.813619087117626
000095,000090,4.798671398823148,48.26590641789574
000420,000415,4.240911776115437,6.295514832163293
000185,000180,4.149133248135319,29.747072459586665
000600,000595,4.0565071418771055,29.674435675445395
000225,000220,3.8659878206033715,23.356376213294524
000450,000445,3.755315098168815,9.469899470194594
000195,000190,3.6292389698613197,35.388306183450545
000755,000750,3.536299963789218,10.007958304622914
000100,000095,3.4972916490745503,36.40571787478071
000255,000250,3.365498584965312,49.95809338290995
