bag,min_bbox_area,min_mask_area,min_final_score,candidate_output_count,tp,fp,tn,fn,visible_recall,hidden_fpr,hand_interaction_fpr,fpr,precision,hidden_fp,hand_fp,revisible_recovery_success,revisible_transition_count,revisible_recovery_rate
SLAM_with_milk_nomilk,1000,1000,0.4,499,185,314,11,2,0.9893048128342246,0.9495412844036697,1.0,0.9661538461538461,0.37074148296593185,207,107,4,4,1.0
only_Milk,1000,1000,0.4,173,173,0,0,0,1.0,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,1000,0.45,265,166,99,226,21,0.8877005347593583,0.3165137614678899,0.2803738317757009,0.3046153846153846,0.6264150943396226,69,30,4,4,1.0
only_Milk,1000,1000,0.45,173,173,0,0,0,1.0,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,1000,0.5,156,151,5,320,36,0.8074866310160428,0.022935779816513763,0.0,0.015384615384615385,0.967948717948718,5,0,4,4,1.0
only_Milk,1000,1000,0.5,172,172,0,0,1,0.9942196531791907,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,1000,0.55,129,127,2,323,60,0.679144385026738,0.009174311926605505,0.0,0.006153846153846154,0.9844961240310077,2,0,4,4,1.0
only_Milk,1000,1000,0.55,170,170,0,0,3,0.9826589595375722,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,1000,0.6,29,29,0,325,158,0.15508021390374332,0.0,0.0,0.0,1.0,0,0,3,4,0.75
only_Milk,1000,1000,0.6,123,123,0,0,50,0.7109826589595376,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,2000,0.4,490,185,305,20,2,0.9893048128342246,0.9128440366972477,0.9906542056074766,0.9384615384615385,0.37755102040816324,199,106,4,4,1.0
only_Milk,1000,2000,0.4,173,173,0,0,0,1.0,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,2000,0.45,258,166,92,233,21,0.8877005347593583,0.2889908256880734,0.27102803738317754,0.28307692307692306,0.6434108527131783,63,29,4,4,1.0
only_Milk,1000,2000,0.45,173,173,0,0,0,1.0,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,2000,0.5,156,151,5,320,36,0.8074866310160428,0.022935779816513763,0.0,0.015384615384615385,0.967948717948718,5,0,4,4,1.0
only_Milk,1000,2000,0.5,172,172,0,0,1,0.9942196531791907,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,2000,0.55,129,127,2,323,60,0.679144385026738,0.009174311926605505,0.0,0.006153846153846154,0.9844961240310077,2,0,4,4,1.0
only_Milk,1000,2000,0.55,170,170,0,0,3,0.9826589595375722,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,2000,0.6,29,29,0,325,158,0.15508021390374332,0.0,0.0,0.0,1.0,0,0,3,4,0.75
only_Milk,1000,2000,0.6,123,123,0,0,50,0.7109826589595376,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,3000,0.4,436,184,252,73,3,0.983957219251337,0.6926605504587156,0.9439252336448598,0.7753846153846153,0.42201834862385323,151,101,4,4,1.0
only_Milk,1000,3000,0.4,173,173,0,0,0,1.0,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,3000,0.45,210,166,44,281,21,0.8877005347593583,0.10091743119266056,0.205607476635514,0.13538461538461538,0.7904761904761904,22,22,4,4,1.0
only_Milk,1000,3000,0.45,172,172,0,0,1,0.9942196531791907,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,3000,0.5,154,151,3,322,36,0.8074866310160428,0.013761467889908258,0.0,0.009230769230769232,0.9805194805194806,3,0,4,4,1.0
only_Milk,1000,3000,0.5,172,172,0,0,1,0.9942196531791907,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,3000,0.55,129,127,2,323,60,0.679144385026738,0.009174311926605505,0.0,0.006153846153846154,0.9844961240310077,2,0,4,4,1.0
only_Milk,1000,3000,0.55,170,170,0,0,3,0.9826589595375722,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,3000,0.6,28,28,0,325,159,0.1497326203208556,0.0,0.0,0.0,1.0,0,0,3,4,0.75
only_Milk,1000,3000,0.6,121,121,0,0,52,0.6994219653179191,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,4000,0.4,405,179,226,99,8,0.9572192513368984,0.6146788990825688,0.8598130841121495,0.6953846153846154,0.4419753086419753,134,92,4,4,1.0
only_Milk,1000,4000,0.4,173,173,0,0,0,1.0,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,4000,0.45,200,160,40,285,27,0.8556149732620321,0.09174311926605505,0.18691588785046728,0.12307692307692308,0.8,20,20,4,4,1.0
only_Milk,1000,4000,0.45,172,172,0,0,1,0.9942196531791907,,,,1.0,0,0,,,
SLAM_with_milk_nomilk,1000,4000,0.5,153,150,3,322,37,0.8021390374331551,0.013761467889908258,0.0,0.009230769230769232,0.9803921568627451,3,0,4,4,1.0
only_Milk,1000,4000,0.5,172,172,0,0,1,0.9942196531791907,,,,1.0,0,0,,,
