min_bbox_area,min_mask_area,min_final_score,slam_visible_recall,slam_hidden_fpr,slam_hand_fpr,slam_precision,slam_candidate_output_count,slam_revisible_recovery_rate,only_Milk_candidate_recall,only_Milk_candidate_output_count
1000,3000,0.5,0.8074866310160428,0.013761467889908258,0.0,0.9805194805194806,154,1.0,0.9942196531791907,172
2000,3000,0.5,0.8074866310160428,0.013761467889908258,0.0,0.9805194805194806,154,1.0,0.9942196531791907,172
3000,3000,0.5,0.8074866310160428,0.013761467889908258,0.0,0.9805194805194806,154,1.0,0.9942196531791907,172
4000,1000,0.5,0.8074866310160428,0.013761467889908258,0.0,0.9805194805194806,154,1.0,0.9942196531791907,172
4000,2000,0.5,0.8074866310160428,0.013761467889908258,0.0,0.9805194805194806,154,1.0,0.9942196531791907,172
4000,3000,0.5,0.8074866310160428,0.013761467889908258,0.0,0.9805194805194806,154,1.0,0.9942196531791907,172
3000,1000,0.5,0.8074866310160428,0.01834862385321101,0.0,0.9741935483870968,155,1.0,0.9942196531791907,172
3000,2000,0.5,0.8074866310160428,0.01834862385321101,0.0,0.9741935483870968,155,1.0,0.9942196531791907,172
1000,1000,0.5,0.8074866310160428,0.022935779816513763,0.0,0.967948717948718,156,1.0,0.9942196531791907,172
1000,2000,0.5,0.8074866310160428,0.022935779816513763,0.0,0.967948717948718,156,1.0,0.9942196531791907,172
2000,1000,0.5,0.8074866310160428,0.022935779816513763,0.0,0.967948717948718,156,1.0,0.9942196531791907,172
2000,2000,0.5,0.8074866310160428,0.022935779816513763,0.0,0.967948717948718,156,1.0,0.9942196531791907,172
1000,4000,0.5,0.8021390374331551,0.013761467889908258,0.0,0.9803921568627451,153,1.0,0.9942196531791907,172
2000,4000,0.5,0.8021390374331551,0.013761467889908258,0.0,0.9803921568627451,153,1.0,0.9942196531791907,172
3000,4000,0.5,0.8021390374331551,0.013761467889908258,0.0,0.9803921568627451,153,1.0,0.9942196531791907,172
4000,4000,0.5,0.8021390374331551,0.013761467889908258,0.0,0.9803921568627451,153,1.0,0.9942196531791907,172
5000,1000,0.5,0.8021390374331551,0.013761467889908258,0.0,0.9803921568627451,153,1.0,0.9942196531791907,172
5000,2000,0.5,0.8021390374331551,0.013761467889908258,0.0,0.9803921568627451,153,1.0,0.9942196531791907,172
5000,3000,0.5,0.8021390374331551,0.013761467889908258,0.0,0.9803921568627451,153,1.0,0.9942196531791907,172
5000,4000,0.5,0.8021390374331551,0.013761467889908258,0.0,0.9803921568627451,153,1.0,0.9942196531791907,172
