bag,min_area,min_final_score,candidate_frames,tp,fp,tn,fn,recall,fpr,precision
SLAM_with_milk_nomilk,0,0.3,512,187,325,0,0,1.0,1.0,0.365234375
only_Milk,0,0.3,173,173,0,0,0,1.0,,1.0
SLAM_with_milk_nomilk,0,0.4,500,185,315,10,2,0.9893048128342246,0.9692307692307692,0.37
only_Milk,0,0.4,173,173,0,0,0,1.0,,1.0
SLAM_with_milk_nomilk,0,0.5,159,151,8,317,36,0.8074866310160428,0.024615384615384615,0.949685534591195
only_Milk,0,0.5,172,172,0,0,1,0.9942196531791907,,1.0
SLAM_with_milk_nomilk,0,0.55,129,127,2,323,60,0.679144385026738,0.006153846153846154,0.9844961240310077
only_Milk,0,0.55,170,170,0,0,3,0.9826589595375722,,1.0
SLAM_with_milk_nomilk,0,0.6,29,29,0,325,158,0.15508021390374332,0.0,1.0
only_Milk,0,0.6,123,123,0,0,50,0.7109826589595376,,1.0
SLAM_with_milk_nomilk,3000,0.3,512,187,325,0,0,1.0,1.0,0.365234375
only_Milk,3000,0.3,173,173,0,0,0,1.0,,1.0
SLAM_with_milk_nomilk,3000,0.4,436,184,252,73,3,0.983957219251337,0.7753846153846153,0.42201834862385323
only_Milk,3000,0.4,173,173,0,0,0,1.0,,1.0
SLAM_with_milk_nomilk,3000,0.5,154,151,3,322,36,0.8074866310160428,0.009230769230769232,0.9805194805194806
only_Milk,3000,0.5,172,172,0,0,1,0.9942196531791907,,1.0
SLAM_with_milk_nomilk,3000,0.55,129,127,2,323,60,0.679144385026738,0.006153846153846154,0.9844961240310077
only_Milk,3000,0.55,170,170,0,0,3,0.9826589595375722,,1.0
SLAM_with_milk_nomilk,3000,0.6,28,28,0,325,159,0.1497326203208556,0.0,1.0
only_Milk,3000,0.6,121,121,0,0,52,0.6994219653179191,,1.0
SLAM_with_milk_nomilk,5000,0.3,512,187,325,0,0,1.0,1.0,0.365234375
only_Milk,5000,0.3,173,173,0,0,0,1.0,,1.0
SLAM_with_milk_nomilk,5000,0.4,372,173,199,126,14,0.9251336898395722,0.6123076923076923,0.4650537634408602
only_Milk,5000,0.4,171,171,0,0,2,0.9884393063583815,,1.0
SLAM_with_milk_nomilk,5000,0.5,146,143,3,322,44,0.7647058823529411,0.009230769230769232,0.9794520547945206
only_Milk,5000,0.5,171,171,0,0,2,0.9884393063583815,,1.0
SLAM_with_milk_nomilk,5000,0.55,100,99,1,324,88,0.5294117647058824,0.003076923076923077,0.99
only_Milk,5000,0.55,168,168,0,0,5,0.9710982658959537,,1.0
SLAM_with_milk_nomilk,5000,0.6,0,0,0,325,187,0.0,0.0,
only_Milk,5000,0.6,118,118,0,0,55,0.6820809248554913,,1.0
SLAM_with_milk_nomilk,7000,0.3,512,187,325,0,0,1.0,1.0,0.365234375
only_Milk,7000,0.3,173,173,0,0,0,1.0,,1.0
SLAM_with_milk_nomilk,7000,0.4,270,102,168,157,85,0.5454545454545454,0.5169230769230769,0.37777777777777777
only_Milk,7000,0.4,137,137,0,0,36,0.791907514450867,,1.0
SLAM_with_milk_nomilk,7000,0.5,72,70,2,323,117,0.37433155080213903,0.006153846153846154,0.9722222222222222
only_Milk,7000,0.5,130,130,0,0,43,0.7514450867052023,,1.0
SLAM_with_milk_nomilk,7000,0.55,39,38,1,324,149,0.20320855614973263,0.003076923076923077,0.9743589743589743
only_Milk,7000,0.55,125,125,0,0,48,0.7225433526011561,,1.0
SLAM_with_milk_nomilk,7000,0.6,0,0,0,325,187,0.0,0.0,
only_Milk,7000,0.6,81,81,0,0,92,0.4682080924855491,,1.0
SLAM_with_milk_nomilk,9000,0.3,512,187,325,0,0,1.0,1.0,0.365234375
only_Milk,9000,0.3,173,173,0,0,0,1.0,,1.0
SLAM_with_milk_nomilk,9000,0.4,209,50,159,166,137,0.26737967914438504,0.48923076923076925,0.23923444976076555
only_Milk,9000,0.4,115,115,0,0,58,0.6647398843930635,,1.0
SLAM_with_milk_nomilk,9000,0.5,22,22,0,325,165,0.11764705882352941,0.0,1.0
only_Milk,9000,0.5,87,87,0,0,86,0.5028901734104047,,1.0
SLAM_with_milk_nomilk,9000,0.55,6,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,9000,0.55,87,87,0,0,86,0.5028901734104047,,1.0
SLAM_with_milk_nomilk,9000,0.6,0,0,0,325,187,0.0,0.0,
only_Milk,9000,0.6,52,52,0,0,121,0.30057803468208094,,1.0
SLAM_with_milk_nomilk,12000,0.3,510,187,323,2,0,1.0,0.9938461538461538,0.36666666666666664
only_Milk,12000,0.3,173,173,0,0,0,1.0,,1.0
SLAM_with_milk_nomilk,12000,0.4,160,25,135,190,162,0.13368983957219252,0.4153846153846154,0.15625
only_Milk,12000,0.4,46,46,0,0,127,0.2658959537572254,,1.0
SLAM_with_milk_nomilk,12000,0.5,8,8,0,325,179,0.0427807486631016,0.0,1.0
only_Milk,12000,0.5,1,1,0,0,172,0.005780346820809248,,1.0
SLAM_with_milk_nomilk,12000,0.55,5,5,0,325,182,0.026737967914438502,0.0,1.0
only_Milk,12000,0.55,1,1,0,0,172,0.005780346820809248,,1.0
SLAM_with_milk_nomilk,12000,0.6,0,0,0,325,187,0.0,0.0,
only_Milk,12000,0.6,0,0,0,0,173,0.0,,
