bag,sweep,min_final_score,pose_confidence_threshold,temporal_jump_threshold,tp,fp,tn,fn,recall,fpr,precision
SLAM_with_milk_nomilk,min_final_score,0.0,0.55,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,min_final_score,0.0,0.55,120.0,81,0,0,92,0.4682080924855491,,1.0
SLAM_with_milk_nomilk,min_final_score,0.2,0.55,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,min_final_score,0.2,0.55,120.0,81,0,0,92,0.4682080924855491,,1.0
SLAM_with_milk_nomilk,min_final_score,0.3,0.55,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,min_final_score,0.3,0.55,120.0,81,0,0,92,0.4682080924855491,,1.0
SLAM_with_milk_nomilk,min_final_score,0.4,0.55,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,min_final_score,0.4,0.55,120.0,81,0,0,92,0.4682080924855491,,1.0
SLAM_with_milk_nomilk,min_final_score,0.45,0.55,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,min_final_score,0.45,0.55,120.0,81,0,0,92,0.4682080924855491,,1.0
SLAM_with_milk_nomilk,min_final_score,0.5,0.55,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,min_final_score,0.5,0.55,120.0,81,0,0,92,0.4682080924855491,,1.0
SLAM_with_milk_nomilk,min_final_score,0.55,0.55,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,min_final_score,0.55,0.55,120.0,81,0,0,92,0.4682080924855491,,1.0
SLAM_with_milk_nomilk,min_final_score,0.6,0.55,120.0,0,0,325,187,0.0,0.0,
only_Milk,min_final_score,0.6,0.55,120.0,49,0,0,124,0.2832369942196532,,1.0
SLAM_with_milk_nomilk,min_final_score,0.65,0.55,120.0,0,0,325,187,0.0,0.0,
only_Milk,min_final_score,0.65,0.55,120.0,0,0,0,173,0.0,,
SLAM_with_milk_nomilk,pose_confidence_threshold,0.55,0.0,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,pose_confidence_threshold,0.55,0.0,120.0,87,0,0,86,0.5028901734104047,,1.0
SLAM_with_milk_nomilk,pose_confidence_threshold,0.55,0.05,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,pose_confidence_threshold,0.55,0.05,120.0,87,0,0,86,0.5028901734104047,,1.0
SLAM_with_milk_nomilk,pose_confidence_threshold,0.55,0.1,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,pose_confidence_threshold,0.55,0.1,120.0,87,0,0,86,0.5028901734104047,,1.0
SLAM_with_milk_nomilk,pose_confidence_threshold,0.55,0.2,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,pose_confidence_threshold,0.55,0.2,120.0,87,0,0,86,0.5028901734104047,,1.0
SLAM_with_milk_nomilk,pose_confidence_threshold,0.55,0.3,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,pose_confidence_threshold,0.55,0.3,120.0,87,0,0,86,0.5028901734104047,,1.0
SLAM_with_milk_nomilk,pose_confidence_threshold,0.55,0.4,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,pose_confidence_threshold,0.55,0.4,120.0,85,0,0,88,0.4913294797687861,,1.0
SLAM_with_milk_nomilk,pose_confidence_threshold,0.55,0.5,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,pose_confidence_threshold,0.55,0.5,120.0,82,0,0,91,0.47398843930635837,,1.0
SLAM_with_milk_nomilk,pose_confidence_threshold,0.55,0.55,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,pose_confidence_threshold,0.55,0.55,120.0,81,0,0,92,0.4682080924855491,,1.0
SLAM_with_milk_nomilk,pose_confidence_threshold,0.55,0.6,120.0,0,0,325,187,0.0,0.0,
only_Milk,pose_confidence_threshold,0.55,0.6,120.0,44,0,0,129,0.2543352601156069,,1.0
SLAM_with_milk_nomilk,temporal_jump_threshold,0.55,0.55,25.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,temporal_jump_threshold,0.55,0.55,25.0,81,0,0,92,0.4682080924855491,,1.0
SLAM_with_milk_nomilk,temporal_jump_threshold,0.55,0.55,60.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,temporal_jump_threshold,0.55,0.55,60.0,81,0,0,92,0.4682080924855491,,1.0
SLAM_with_milk_nomilk,temporal_jump_threshold,0.55,0.55,120.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,temporal_jump_threshold,0.55,0.55,120.0,81,0,0,92,0.4682080924855491,,1.0
SLAM_with_milk_nomilk,temporal_jump_threshold,0.55,0.55,999.0,6,0,325,181,0.03208556149732621,0.0,1.0
only_Milk,temporal_jump_threshold,0.55,0.55,999.0,81,0,0,92,0.4682080924855491,,1.0
