feature,direction,threshold,fp_removed,normal_lost,score,fp_values,normal_median,normal_min,normal_max
candidate_score,low_bad,0.5947277545928955,1.0,0.35,0.65,"[0.5192379951477051, 0.5628148913383484, 0.5826863646507263]",0.5966680347919464,0.5149255394935608,0.6300907135009766
projected_bbox_iou,high_bad,0.7970371351403667,0.6666666666666666,0.05,0.6166666666666666,"[0.803775710153523, 0.8721917620409987, 0.21741755577292537]",0.4925000409636015,0.05417293941298369,0.8075800728792674
mask_median_depth_abs_error_mm,high_bad,40.695056140953966,0.6666666666666666,0.1,0.5666666666666667,"[41.0, 42.0, 16.465921866686926]",25.784975188212115,0.4408989220894455,45.55574195960162
render_mask_iou_approx,high_bad,0.7634676775738228,0.6666666666666666,0.1,0.5666666666666667,"[0.8316943596699446, 0.8067858067858068, 0.07410795974382434]",0.4981765509559395,0.008696242951287451,0.8205107417916497
bbox_center_distance_px,low_bad,6.292467048002506,0.6666666666666666,0.1,0.5666666666666667,"[2.0431333284552564, 4.77496736548467, 32.018715442335804]",18.570335072319057,2.861897129153993,73.40688604854425
score_margin,high_bad,0.01515430212020874,1.0,0.45,0.55,"[0.049262166023254395, 0.022994637489318848, 0.016246557235717773]",0.01509895920753479,0.0007624626159667969,0.06230771541595459
pose_confidence,low_bad,0.5947,1.0,0.45,0.55,"[0.5192, 0.5628, 0.5776]",0.5956,0.5134,0.6301
projected_point_depth_residual_mm,low_bad,11.741561648433844,0.6666666666666666,0.15,0.5166666666666666,"[11.662959582875772, 11.367171386966902, 29.638224340156853]",28.43606231478094,8.855360525718424,1476.2688950982965
bbox_scale_ratio,high_bad,1.0942678881430525,0.6666666666666666,0.15,0.5166666666666666,"[1.1022677132712024, 1.0978345154921494, 0.6761407126136363]",0.818368122898108,0.3596676151108101,1.200604769341859
mask_depth_std_mm,high_bad,13.514178217041193,0.6666666666666666,0.2,0.4666666666666666,"[13.578652793672223, 14.842441949702717, 7.160973906212271]",10.694575565295828,5.644272079456302,16.11850927555875
center_depth_abs_error_mm,low_bad,1.716683822449454,0.3333333333333333,0.0,0.3333333333333333,"[41.0, 33.0, 1.5340781333130735]",28.786798689665545,1.716683822449454,136.46926544120265
mask_depth_iqr_mm,high_bad,20.0,0.3333333333333333,0.1,0.2333333333333333,"[15.0, 24.0, 9.0]",14.5,5.0,24.0
