frame,milk_visible,hand_interaction,should_output_pose,ism_ok,ism_candidates,best_ism_score,pose_output,skip_reason,score,tx,ty,tz
000256,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
000308,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
000312,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
000317,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
000320,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
000324,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
000328,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
000332,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
000336,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
000340,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
000344,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001245,False,False,False,True,1,0.5192,True,,0.5192,315.79998779296875,69.0999984741211,665.0
001435,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001440,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001444,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001448,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001453,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001458,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001463,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001467,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001472,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001475,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001480,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001483,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001487,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001491,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
001720,False,False,False,True,2,0.5628,True,,0.5628,-456.7000122070313,139.8000030517578,702.0
001808,False,False,False,True,4,0.5827,True,,0.5776,92.42350412308429,80.72282445702719,766.4659218666869
002258,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
002263,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
002268,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
002273,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
002278,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
002283,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
002288,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
002292,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
002295,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
002299,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
002304,True,False,True,True,0,0.0,False,no_ism_candidate,,,,
