min_bbox_area,min_mask_area,min_final_score,transition_start,window,success,first_recovery_frame
1000,1000,0.4,000000,12,True,000000
1000,1000,0.4,001251,12,True,001251
1000,1000,0.4,001724,12,True,001724
1000,1000,0.4,002185,12,True,002185
1000,1000,0.45,000000,12,True,000000
1000,1000,0.45,001251,12,True,001251
1000,1000,0.45,001724,12,True,001724
1000,1000,0.45,002185,12,True,002185
1000,1000,0.5,000000,12,True,000000
1000,1000,0.5,001251,12,True,001251
1000,1000,0.5,001724,12,True,001724
1000,1000,0.5,002185,12,True,002185
1000,1000,0.55,000000,12,True,000000
1000,1000,0.55,001251,12,True,001260
1000,1000,0.55,001724,12,True,001724
1000,1000,0.55,002185,12,True,002225
1000,1000,0.6,000000,12,True,000022
1000,1000,0.6,001251,12,True,001276
1000,1000,0.6,001724,12,True,001767
1000,1000,0.6,002185,12,False,
1000,2000,0.4,000000,12,True,000000
1000,2000,0.4,001251,12,True,001251
1000,2000,0.4,001724,12,True,001724
1000,2000,0.4,002185,12,True,002185
1000,2000,0.45,000000,12,True,000000
1000,2000,0.45,001251,12,True,001251
1000,2000,0.45,001724,12,True,001724
1000,2000,0.45,002185,12,True,002185
1000,2000,0.5,000000,12,True,000000
1000,2000,0.5,001251,12,True,001251
1000,2000,0.5,001724,12,True,001724
1000,2000,0.5,002185,12,True,002185
1000,2000,0.55,000000,12,True,000000
1000,2000,0.55,001251,12,True,001260
1000,2000,0.55,001724,12,True,001724
1000,2000,0.55,002185,12,True,002225
1000,2000,0.6,000000,12,True,000022
1000,2000,0.6,001251,12,True,001276
1000,2000,0.6,001724,12,True,001767
1000,2000,0.6,002185,12,False,
1000,3000,0.4,000000,12,True,000000
1000,3000,0.4,001251,12,True,001251
1000,3000,0.4,001724,12,True,001724
1000,3000,0.4,002185,12,True,002185
1000,3000,0.45,000000,12,True,000000
1000,3000,0.45,001251,12,True,001251
1000,3000,0.45,001724,12,True,001724
1000,3000,0.45,002185,12,True,002185
1000,3000,0.5,000000,12,True,000000
1000,3000,0.5,001251,12,True,001251
1000,3000,0.5,001724,12,True,001724
1000,3000,0.5,002185,12,True,002185
1000,3000,0.55,000000,12,True,000000
1000,3000,0.55,001251,12,True,001260
1000,3000,0.55,001724,12,True,001724
1000,3000,0.55,002185,12,True,002225
1000,3000,0.6,000000,12,True,000022
1000,3000,0.6,001251,12,True,001276
1000,3000,0.6,001724,12,True,001767
1000,3000,0.6,002185,12,False,
1000,4000,0.4,000000,12,True,000000
1000,4000,0.4,001251,12,True,001251
1000,4000,0.4,001724,12,True,001724
1000,4000,0.4,002185,12,True,002185
1000,4000,0.45,000000,12,True,000000
1000,4000,0.45,001251,12,True,001251
1000,4000,0.45,001724,12,True,001724
1000,4000,0.45,002185,12,True,002185
1000,4000,0.5,000000,12,True,000000
1000,4000,0.5,001251,12,True,001251
