after_extent,after_mean,before_extent,before_mean,template_dir,variant,view
"[68.375, 56.625, 49.28125]","[0.013954, -0.016174, -91.5]","[0.068359, 0.056641, 0.049316]","[1.4e-05, -1.6e-05, -0.091553]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,0
"[70.8125, 59.0625, 180.625]","[-5.128906, -14.945312, -39.625]","[0.070801, 0.059082, 0.180664]","[-0.005127, -0.014946, -0.039642]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,1
"[70.8125, 58.59375, 180.625]","[-5.144531, 14.851562, -39.59375]","[0.070801, 0.058594, 0.180664]","[-0.005146, 0.014847, -0.039612]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,2
"[63.9375, 59.0625, 180.625]","[13.976562, 9.359375, -42.40625]","[0.063965, 0.059082, 0.180664]","[0.013977, 0.009361, -0.042419]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,3
"[63.9375, 60.0625, 179.75]","[13.921875, -9.5, -42.4375]","[0.063965, 0.060059, 0.179688]","[0.013924, -0.009499, -0.04245]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,4
"[63.0, 62.0, 179.75]","[-17.875, -0.025665, -45.96875]","[0.062988, 0.062012, 0.179688]","[-0.017868, -2.6e-05, -0.045959]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,5
"[70.3125, 56.625, 182.625]","[6.5625, 19.5, -16.3125]","[0.070312, 0.056641, 0.182617]","[0.006561, 0.019501, -0.016312]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,6
"[70.3125, 57.125, 182.625]","[6.554688, -19.609375, -16.28125]","[0.070312, 0.057129, 0.182617]","[0.006554, -0.019608, -0.016281]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,7
"[63.0, 58.125, 181.625]","[-18.421875, -12.882812, -18.921875]","[0.062988, 0.058105, 0.181641]","[-0.018433, -0.012886, -0.018921]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,8
"[62.0, 57.125, 182.625]","[-18.515625, 12.710938, -18.921875]","[0.062012, 0.057129, 0.182617]","[-0.018524, 0.012711, -0.018921]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,9
"[61.5, 62.5, 182.625]","[24.4375, -0.023468, -22.875]","[0.061523, 0.0625, 0.182617]","[0.024445, -2.3e-05, -0.022888]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,10
"[70.8125, 57.125, 182.625]","[-6.753906, -20.171875, -12.375]","[0.070801, 0.057129, 0.182617]","[-0.006752, -0.020172, -0.012375]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,11
"[70.8125, 56.625, 183.5]","[-6.753906, 20.046875, -12.390625]","[0.070801, 0.056641, 0.183594]","[-0.006752, 0.02005, -0.01239]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,12
"[61.5, 56.625, 182.625]","[19.0625, 13.140625, -14.84375]","[0.061523, 0.056641, 0.182617]","[0.019058, 0.013138, -0.014847]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,13
"[61.5, 57.125, 182.625]","[18.96875, -13.304688, -14.875]","[0.061523, 0.057129, 0.182617]","[0.018982, -0.013306, -0.014877]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,14
"[62.0, 61.0625, 182.625]","[-25.375, -0.020569, -18.734375]","[0.062012, 0.061035, 0.182617]","[-0.025375, -2.1e-05, -0.018738]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,15
