bbox_height,bbox_width,empty,grayscale_like,mask,object_area_ratio,resolution,rgb,rgb_mean,rgb_std,template,unique_colors,view
124,130,False,False,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/mask_0.png,0.047394,512x512,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/rgb_0.png,"[119.798, 126.035, 121.604]","[29.238, 27.531, 30.282]",sauce_vertex_160000_ply_mm,2053,0
249,126,False,False,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/mask_1.png,0.100178,512x512,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/rgb_1.png,"[103.819, 91.679, 74.136]","[55.94, 42.615, 50.737]",sauce_vertex_160000_ply_mm,8123,1
249,126,False,False,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/mask_2.png,0.100018,512x512,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/rgb_2.png,"[106.022, 94.104, 76.336]","[56.665, 42.782, 50.442]",sauce_vertex_160000_ply_mm,7819,2
257,121,False,False,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/mask_3.png,0.095650,512x512,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/rgb_3.png,"[103.056, 93.374, 76.542]","[56.019, 40.455, 48.349]",sauce_vertex_160000_ply_mm,7963,3
257,120,False,False,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/mask_4.png,0.095581,512x512,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/rgb_4.png,"[101.055, 91.531, 75.061]","[55.023, 40.554, 49.002]",sauce_vertex_160000_ply_mm,8200,4
258,120,False,False,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/mask_5.png,0.091503,512x512,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/rgb_5.png,"[95.797, 82.607, 62.913]","[53.77, 36.395, 43.534]",sauce_vertex_160000_ply_mm,5833,5
315,122,False,False,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/mask_6.png,0.128712,512x512,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/rgb_6.png,"[140.252, 119.369, 98.072]","[58.874, 51.294, 63.262]",sauce_vertex_160000_ply_mm,11648,6
315,122,False,False,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/mask_7.png,0.128925,512x512,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/rgb_7.png,"[134.887, 114.173, 93.193]","[59.271, 52.603, 65.02]",sauce_vertex_160000_ply_mm,11492,7
321,116,False,False,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/mask_8.png,0.120003,512x512,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/rgb_8.png,"[128.81, 105.042, 81.288]","[58.91, 49.38, 60.639]",sauce_vertex_160000_ply_mm,8779,8
321,117,False,False,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/mask_9.png,0.120026,512x512,/home/etri/CLI_environment/sam6d_ws/template/sauce_mm/vertex_160000/Sauce_with_normal_vertexcolor_mm/templates/rgb_9.png,"[130.497, 107.063, 83.398]","[59.128, 49.75, 60.859]",sauce_vertex_160000_ply_mm,8789,9
